Jelenítse meg az aktuális időpontban mind a 10 város hőmérsékletét
Városnevek szerint legyen rendezve
Napi átlag hőmérséklet
7-5-ig a hőmérséklet átlaga, országosan
Max és min hőmérséklet, városa, ha egyezés van mindegyik város kiírása


| Hour | Nagyatád | Babócsa | Szeged | Budapest | Szombathely | Győr | Miskolc | Sopron | Debrecen | Békéscsaba |
| ---- | -------: | ------: | -----: | -------: | ----------: | ---: | ------: | -----: | -------: | ---------: |
| 0    |      4.2 |     4.7 |    5.2 |      3.7 |         3.1 |  3.6 |     2.5 |    2.9 |      3.0 |        4.9 |
| 1    |      3.5 |     4.0 |    4.5 |      3.0 |         2.5 |  3.0 |     2.0 |    2.3 |      2.5 |        4.3 |
| 2    |      3.1 |     3.6 |    4.1 |      2.6 |         2.1 |  2.6 |     1.6 |    1.9 |      2.1 |        3.9 |
| 3    |      3.0 |     3.5 |    4.0 |      2.5 |         2.0 |  2.5 |     1.5 |    1.8 |      2.0 |        3.8 |
| 4    |      3.1 |     3.6 |    4.1 |      2.6 |         2.1 |  2.6 |     1.6 |    1.9 |      2.1 |        3.9 |
| 5    |      3.5 |     4.0 |    4.5 |      3.0 |         2.5 |  3.0 |     2.0 |    2.3 |      2.5 |        4.3 |
| 6    |      4.2 |     4.7 |    5.2 |      3.7 |         3.1 |  3.6 |     2.5 |    2.9 |      3.0 |        4.9 |
| 7    |      5.0 |     5.5 |    6.0 |      4.5 |         3.9 |  4.4 |     3.3 |    3.6 |      3.8 |        5.6 |
| 8    |      6.0 |     6.5 |    7.0 |      5.5 |         4.8 |  5.3 |     4.1 |    4.5 |      4.6 |        6.5 |
| 9    |      7.0 |     7.5 |    8.0 |      6.5 |         5.8 |  6.2 |     5.0 |    5.4 |      5.5 |        7.4 |
| 10   |      8.0 |     8.5 |    9.0 |      7.5 |         6.7 |  7.2 |     5.9 |    6.3 |      6.4 |        8.3 |
| 11   |      9.0 |     9.5 |   10.0 |      8.5 |         7.6 |  8.1 |     6.8 |    7.2 |      7.2 |        9.2 |
| 12   |      9.8 |    10.3 |   10.8 |      9.3 |         8.4 |  8.9 |     7.5 |    7.9 |      8.0 |        9.9 |
| 13   |     10.5 |    11.0 |   11.5 |     10.0 |         9.0 |  9.5 |     8.0 |    8.5 |      8.5 |       10.5 |
| 14   |     10.9 |    11.4 |   11.9 |     10.4 |         9.4 |  9.9 |     8.4 |    8.9 |      8.9 |       10.9 |
| 15   |     11.0 |    11.5 |   12.0 |     10.5 |         9.5 | 10.0 |     8.5 |    9.0 |      9.0 |       11.0 |
| 16   |     10.9 |    11.4 |   11.9 |     10.4 |         9.4 |  9.9 |     8.4 |    8.9 |      8.9 |       10.9 |
| 17   |     10.5 |    11.0 |   11.5 |     10.0 |         9.0 |  9.5 |     8.0 |    8.5 |      8.5 |       10.5 |
| 18   |      9.8 |    10.3 |   10.8 |      9.3 |         8.4 |  8.9 |     7.5 |    7.9 |      8.0 |        9.9 |
| 19   |      9.0 |     9.5 |   10.0 |      8.5 |         7.6 |  8.1 |     6.8 |    7.2 |      7.2 |        9.2 |
| 20   |      8.0 |     8.5 |    9.0 |      7.5 |         6.7 |  7.2 |     5.9 |    6.3 |      6.4 |        8.3 |
| 21   |      7.0 |     7.5 |    8.0 |      6.5 |         5.8 |  6.2 |     5.0 |    5.4 |      5.5 |        7.4 |
| 22   |      6.0 |     6.5 |    7.0 |      5.5 |         4.8 |  5.3 |     4.1 |    4.5 |      4.6 |        6.5 |
| 23   |      5.0 |     5.5 |    6.0 |      4.5 |         3.9 |  4.4 |     3.3 |    3.6 |      3.8 |        5.6 |
